import time: self [us] | cumulative | imported package
import time:        31 |       7957 |           git.objects.submodule.base
import time:      2532 |      11427 |         git.objects.tree
import time:      1847 |      18234 |       git.objects.commit
import time:       870 |        870 |       git.objects.tag
import time:      2008 |      29582 |     git.objects
import time:      1519 |       1519 |             git.refs.log
import time:      1604 |       3123 |           git.refs.symbolic
import time:      1339 |       4461 |         git.refs.reference
import time:      1330 |       5791 |       git.refs.head
import time:       811 |        811 |       git.refs.remote
import time:      1157 |       1157 |       git.refs.tag
import time:      1540 |       9298 |     git.refs
import time:       647 |        647 |     git.db
import time:       896 |        896 |         shlex
import time:       836 |        836 |                 git.index.util
import time:      1053 |       1889 |               git.index.typ
import time:      1310 |       3198 |             git.index.fun
import time:      2435 |       5632 |           git.index.base
import time:      1388 |       7020 |         git.index
import time:      2234 |       2234 |         git.remote
import time:      1206 |       1206 |         git.repo.fun
import time:      2628 |      13982 |       git.repo.base
import time:      1162 |      15144 |     git.repo
import time:    106787 |     284842 |   git
import time:      2342 |     297125 | main
